previous_cargo,next_cargo,cleaning_requirement,risk_level,fgis_concern,chemical_wash_required,days_lost_estimate,notes
grain,grain,sweep_freshwater_rinse,low,no,no,0.5,"Same commodity. Standard grain-clean sweep + wash. Check for infestation."
grain,wheat,sweep_freshwater_rinse,low,no,no,0.5,"Same grain family. Standard grain-clean procedure."
grain,corn,sweep_freshwater_rinse,low,no,no,0.5,"Same grain family. Standard grain-clean procedure."
grain,soybeans,sweep_freshwater_rinse,low,no,no,0.5,"Same grain family. Check for any GMO residue concerns for specific destinations."
grain,soda_ash,thorough_wash_freshwater_only,high,no,no,1.5,"Hospital clean required. Previous grain residues and odor risk. Fresh water ONLY — no chemicals."
grain,fertilizer,sweep_seawater_freshwater_rinse,low,no,no,0.5,"Standard transition. Confirm fertilizer HME status for MARPOL wash water."
wheat,grain,sweep_freshwater_rinse,low,yes,no,0.5,"Same grain family. NCB inspection required for US grain exports."
corn,grain,sweep_freshwater_rinse,low,yes,no,0.5,"Same grain family. NCB inspection required for US grain exports."
soybeans,grain,sweep_freshwater_rinse,low,yes,no,0.5,"Same grain family. Check infestation. NCB/FGIS inspection required."
iron_ore,grain,alkaline_wash_freshwater_rinse,low,yes,no,1.0,"Ore residues relatively easy to remove. Standard alkaline wash adequate. Check bilge wells for fines."
iron_ore,soda_ash,thorough_wash_freshwater_only,high,no,no,2.0,"Hospital clean required. Rust staining from ore may need acid descaler. Fresh water ONLY after."
bauxite,grain,seawater_freshwater_rinse,low,yes,no,1.0,"Non-staining. Check for packed bauxite dust in frames and behind ladders."
bauxite,soda_ash,thorough_wash_freshwater_only,high,no,no,2.0,"Hospital clean required after bauxite. Thorough pressure wash and dry."
coal,grain,alkaline_chemical_wash_freshwater_rinse,high,yes,yes,2.5,"Most challenging black-to-white transition. Unitor CargoClean HD at 10% concentration. 48-72 hrs minimum."
coal,wheat,alkaline_chemical_wash_freshwater_rinse,high,yes,yes,2.5,"Same as coal-to-grain. Full chemical protocol required."
coal,corn,alkaline_chemical_wash_freshwater_rinse,high,yes,yes,2.5,"Same as coal-to-grain. Full chemical protocol required."
coal,soybeans,alkaline_chemical_wash_freshwater_rinse,high,yes,yes,2.5,"Same as coal-to-grain. Full chemical protocol required."
coal,soda_ash,alkaline_wash_then_freshwater_only_final,very_high,no,yes,3.5,"Hospital clean after coal is extremely demanding. Chemical wash then multiple fresh water rinses. Surveyor stringent."
coal,fertilizer,alkaline_chemical_wash_freshwater_rinse,high,no,yes,2.0,"Full coal cleaning protocol. Verify fertilizer HME status before wash water discharge."
coal,alumina,alkaline_chemical_wash_freshwater_rinse,high,no,yes,2.0,"Alumina is grain clean standard. Full coal transition required."
coal,cement,seawater_freshwater_rinse,medium,no,no,1.5,"Cement requires grain clean. Standard coal cleaning adequate but thorough."
petcoke,grain,heavy_alkaline_wash_freshwater_rinse,high,yes,yes,3.0,"Petcoke harder staining than coal. High-sulfur, oily residues. Multiple wash cycles. 60-96 hrs."
petcoke,wheat,heavy_alkaline_wash_freshwater_rinse,high,yes,yes,3.0,"Same as petcoke-to-grain."
petcoke,corn,heavy_alkaline_wash_freshwater_rinse,high,yes,yes,3.0,"Same as petcoke-to-grain."
petcoke,soda_ash,heavy_alkaline_then_freshwater_only_final,very_high,no,yes,4.0,"Petcoke to hospital clean: most demanding transition. Shore gang likely required."
