Project Name,Commodity,In Service Date,Operator,Owner,Project Type,Stage,State(s),Capacity,Diameter,Length (miles),Origin,Destination,Markets Served,FERC Docket,Significance
Louisiana Energy Gateway (LEG),Natural Gas,Q4 2025,Williams Companies,Williams Companies,New Build,Operational,"Louisiana, Texas",1.8 Bcf/d,42 inches,135,Haynesville Shale (DeSoto Parish LA / Panola County TX),"Gillis Hub, Cameron Parish, Louisiana","Gulf Coast LNG export facilities (Cameron, Sabine Pass, future projects)",CP21-18,Major Haynesville takeaway; primary LNG feed infrastructure; $1B+ investment
NG3 Pipeline,Natural Gas,Q4 2025,Momentum Midstream,Momentum Midstream,New Build,Operational,"Louisiana, Texas",2.2 Bcf/d,Large-diameter,TBD,Haynesville Shale production area,Gulf Coast LNG markets,LNG export facilities,,Critical Haynesville takeaway for LNG demand growth
TransCameron,Natural Gas,Q4 2022,Venture Global LNG,Venture Global LNG,New Build,Operational,Louisiana,1.6 Bcf/d,,,"Haynesville area, interstate interconnections","Calcasieu Pass LNG, Cameron Parish, Louisiana",Calcasieu Pass LNG (1.6 Bcf/d export facility),,Dedicated feed for Venture Global's Calcasieu Pass LNG
Gator Express,Natural Gas,2024-2025,Venture Global LNG,Venture Global LNG,New Build,Operational,Louisiana,2.9 Bcf/d,,,Haynesville area production,"Plaquemines LNG, Plaquemines Parish, Louisiana","Plaquemines LNG (2.9 Bcf/d export facility, 50-75 mi from AMAX site)",,Located in same parish as AMAX Port Nickel site; major local infrastructure
CP Express / Delta Express,Natural Gas,TBD,Venture Global LNG,Venture Global LNG,New Build,Development,Louisiana,2.8 Bcf/d,,,Haynesville production area,"CP2 LNG, Cameron Parish, Louisiana",CP2 LNG (2.8 Bcf/d proposed facility),,Proposed; contingent on CP2 DOE approval (paused January 2024)
Gulf Run,Natural Gas,Q4 2023,Energy Transfer (formerly Enable),Energy Transfer,New Build,Operational,Louisiana,TBD,,,Haynesville Shale production area,Gulf Coast markets,"Haynesville production takeaway, Gulf Coast industrial/LNG demand",,Haynesville takeaway capacity
Gulf Coast Express,Natural Gas,Q4 2019,Kinder Morgan,Kinder Morgan,New Build,Operational,Texas,2.0 Bcf/d,42 inches,450,"Waha Hub, West Texas (Permian Basin)","Agua Dulce, South Texas","South Texas LNG export facilities, Mexican gas exports, Gulf Coast markets",,Major Permian gas takeaway to Gulf Coast LNG markets
Permian Highway Pipeline,Natural Gas,Q4 2020,Kinder Morgan,Kinder Morgan,New Build,Operational,Texas,2.1 Bcf/d,42 inches,430,"Waha Hub, West Texas (Permian Basin)","Katy, Texas (Houston area)","Gulf Coast LNG export, Houston area demand, Mexico exports",CP17-459,Major Permian takeaway to Houston/Gulf Coast
Whistler Pipeline,Natural Gas,Q4 2026,WhiteWater Midstream,"MPLX, WhiteWater, Stonepeak, WTG JV",New Build,Development,Texas,2.0 Bcf/d,,,"Permian Basin, West Texas",Agua Dulce / Gulf Coast,"LNG export facilities, Gulf Coast markets",,Future Permian takeaway capacity
Matterhorn Express,Natural Gas,Q4 2024,WhiteWater Midstream,WhiteWater Midstream,New Build,Operational,Texas,2.5 Bcf/d,,,"Waha Hub, West Texas (Permian Basin)","Katy, Texas (Houston area)","Gulf Coast LNG, Houston demand",,Permian to Houston corridor
Hugh Brinson,Natural Gas,Q4 2026,Energy Transfer,Energy Transfer,New Build,Development,Texas,1.5 Bcf/d est,,,Waha Hub (West Texas),Dallas-Fort Worth area,"Power generation, industrial demand",,Permian gas to DFW market
Golden Pass (Feed Pipeline),Natural Gas,Operational,Golden Pass LNG (QE/XOM/COP),"QatarEnergy 70%, ExxonMobil 30%",Repurposed,Operational,Texas,2.5 Bcf/d,,,Interstate pipeline interconnections,"Golden Pass LNG, Sabine Pass, Texas",Golden Pass LNG (2.5 Bcf/d export facility under construction),,Repurposed from LNG import to export feed pipeline
Port Arthur-Louisiana Connector,Natural Gas,Q2 2026,Sempra Infrastructure,Sempra Infrastructure,New Build,Development,"Louisiana, Texas",1.9 Bcf/d,,,Louisiana pipeline interconnections,"Port Arthur LNG, Port Arthur, Texas",Port Arthur LNG (1.9 Bcf/d facility under construction),,Feed for Port Arthur LNG under construction
Rio Bravo,Natural Gas,Q4 2026,Enbridge,Enbridge,New Build,Development,Texas,3.6 Bcf/d,,,South Texas pipeline interconnections,"Rio Grande LNG, Brownsville, Texas",Rio Grande LNG (3.6 Bcf/d facility under construction),,Feed for Rio Grande LNG under construction
Driftwood (Feed Pipeline),Natural Gas,Q4 2024,Tellurian,Tellurian,New Build,Development,Louisiana,3.6 Bcf/d,,,Haynesville area,"Driftwood LNG, Calcasieu Parish, Louisiana",Driftwood LNG (proposed 3.6 Bcf/d facility),,Project status uncertain due to Tellurian financial challenges
Haynesville Global Access Pipeline (HGAP),Natural Gas,Q4 2024,Tellurian,Tellurian,New Build,On Hold,Louisiana,TBD,,,Haynesville production area,Driftwood LNG (Louisiana Gulf Coast),Driftwood LNG project,,On hold pending Driftwood project status
Transco (System),Natural Gas,Operating (1950s-1980s),Williams Companies,Williams Companies,Interstate System,Operational,"TX, LA, MS, AL, GA, SC, NC, VA, MD, PA, NJ, NY",~15 Bcf/d,Up to 42 inches,,"Gulf Coast (Texas, Louisiana)",New York metro area,"LNG export (Cameron, Sabine Pass), Gulf Coast industrial, Southeast US, Mid-Atlantic, Northeast",,Largest US gas transmission system; primary LNG feed infrastructure
Texas Eastern (TETCO),Natural Gas,Operating (historic),Enbridge,Enbridge,Interstate System,Operational,"TX, LA, AR, MS, TN, KY, WV, OH, PA, NJ",~10 Bcf/d,Up to 36 inches,,"Gulf Coast (TX, LA)",Northeast (PA/NJ),"Northeast markets, Gulf Coast supply, Appalachian takeaway",,Major interstate system with Louisiana operations
Tennessee Gas Pipeline,Natural Gas,Operating (historic),Kinder Morgan,Kinder Morgan,Interstate System,Operational,"TX, LA, AR, MS, TN, KY, WV, OH, PA, NY, CT, MA, RI",~11 Bcf/d,Up to 36 inches,,Gulf Coast,Northeast/New England,Gulf Coast production to Northeast/New England markets,,Major interstate system; 500 Line through Louisiana
Bayou Bridge,Crude Oil,Q1 2016,Energy Transfer,Energy Transfer,New Build,Operational,"Texas, Louisiana",480000 BPD,24 inches,162,"Nederland, Texas (Beaumont/Port Arthur area)","St. James, Louisiana",Louisiana Gulf Coast refineries (Baton Rouge area),,Connects to St. James terminals (Marathon, Shell, Phillips 66)
Bayou Bridge Extension,Crude Oil,Q1 2019,Energy Transfer,Energy Transfer,Extension,Operational,Louisiana,480000 BPD,24 inches,,"Nederland, Texas",St. James Louisiana refineries,Louisiana refineries,,Extension of Bayou Bridge system
Capline Reversal - Heavy Crude,Crude Oil,Q1 2022,Plains All American,Plains All American,Reversal,Operational,"IL, IN, KY, TN, MS, LA",~1.2M BPD,40 inches,630,"Patoka, Illinois (post-reversal source)","St. James, Louisiana",Louisiana Gulf Coast refineries (supplies domestic crude from Midwest/Cushing),,Historic pipeline (built 1960s) reversed 2021; originally moved LOOP imports north
Capline Reversal - Light Crude,Crude Oil,Q3 2020,Plains All American,Plains All American,Reversal,Operational,"IL, IN, KY, TN, MS, LA",~1.2M BPD,40 inches,630,"Patoka, Illinois","St. James, Louisiana",Louisiana Gulf Coast refineries,,Reversed due to US shale boom reducing imports
Wink to Webster,Crude Oil,Q4 2021,ExxonMobil,ExxonMobil,New Build,Operational,Texas,1.0M BPD,30 inches,650,"Wink, Texas (Permian Basin)","Webster, Texas (Houston area)","Houston area refineries, Gulf Coast export terminals",,ExxonMobil's major Permian takeaway investment
EPIC Pipeline,Crude Oil,Q3 2019,EPIC Midstream,EPIC Midstream,New Build,Operational,Texas,900000 BPD,30 inches,730,"McCamey, Texas (Permian Basin)","Corpus Christi, Texas",Corpus Christi refineries and export terminals,,Permian to Corpus Christi corridor
Gray Oak,Crude Oil,Q1 2020,Enbridge,"Enbridge, Phillips 66 JV",New Build,Operational,Texas,1.0M BPD,36 inches,385,"Wink, Texas (Permian Basin)","Corpus Christi and Sweeny, Texas (Gulf Coast)","Gulf Coast refineries, export terminals",,Enbridge/Phillips 66 joint venture
Cactus II,Crude Oil,Q3 2019,Plains All American,Plains All American,New Build,Operational,Texas,670000 BPD,30 inches,550,"Permian Basin, West Texas","Corpus Christi and Ingleside, Texas","Gulf Coast refineries, export terminals",,Plains Permian takeaway system
Daytona,NGLs,Q3 2024,Targa Resources,Targa Resources,New Build,Operational,Texas,400000+ BPD,,,"Permian Basin, West Texas","Mont Belvieu, Texas (NGL fractionation hub)","Petrochemical plants, export terminals",,Major Permian NGL takeaway
Grand Prix,NGLs,Q2 2019,Targa Resources,Targa Resources,New Build,Operational,Texas,250000+ BPD,,,"Permian Basin, West Texas",Mont Belvieu Texas,"Petrochemicals, exports",,Targa NGL infrastructure
EPIC NGL,NGLs,Q3 2020,EPIC Midstream,EPIC Midstream,New Build,Operational,Texas,250000 BPD,,,Permian Basin,"Corpus Christi, Texas",Petrochemicals,,Companion to EPIC crude pipeline
Shin Oak NGL,NGLs,Q2 2019,Enterprise Products Partners,Enterprise Products Partners,New Build,Operational,Texas,200000 BPD,,,Permian Basin,Mont Belvieu Texas,Petrochemicals,,Enterprise NGL system
Lone Star NGL Express,NGLs,Q2 2016,Energy Transfer,Energy Transfer,New Build,Operational,Texas,150000+ BPD,,,Permian Basin,Mont Belvieu Texas,Petrochemicals,,Energy Transfer NGL infrastructure
Mariner East 2,NGLs,Q2 2018,Energy Transfer,Energy Transfer,Expansion,Operational,"OH, WV, PA",345000 BPD,20 inches,350,"Marcellus/Utica Shale (Southwest PA, Southeast OH)","Marcus Hook, PA (Delaware River export terminal)",European petrochemical markets (export-focused),,Appalachian NGL export infrastructure
ACE Pipeline,Crude Oil,Q4 2020,Harvest Midstream,Harvest Midstream,New Build,Cancelled,,,,,,,,,
Alberta Clipper Expansion Phase II,Crude Oil,Q3 2015,Enbridge,Enbridge,,Operational,,,,,,,,,
BridgeTex Expansion,Crude Oil,Q1 2019,ONEOK,ONEOK,Expansion,Operational,,,,,,,,,
Cactus,Crude Oil,Q2 2015,Plains All American,Plains All American,New Build,Operational,,,,,,,,,
Cactus Expansion,Crude Oil,Q4 2017,Plains All American,Plains All American,Expansion,Operational,,,,,,,,,
Caddo,Crude Oil,Q4 2016,Plains All American,Plains All American,New Build,Operational,,,,,,,,,
Cushing MarketLink Houston Lateral,Crude Oil,Q2 2017,TC Energy,TC Energy,New Build,Operational,,,,,,,,,
Dakota Access (DAPL),Crude Oil,Q2 2017,Energy Transfer,Energy Transfer,New Build,Operational,"ND, SD, IA, IL",570000 BPD,30 inches,1172,"Bakken Shale, North Dakota","Patoka, Illinois",Midwest refineries,,Major Bakken takeaway; controversial routing
Delaware Basin Extension,Crude Oil,Q2 2016,Energy Transfer,Energy Transfer,New Build,Operational,,,,,,,,,
Diamond,Crude Oil,Q4 2017,Plains All American,Plains All American,New Build,Operational,,,,,,,,,
Diamond Expansion,Crude Oil,Q3 2020,Plains All American,Plains All American,Expansion,Cancelled,,,,,,,,,
Enbridge- Line 3 Replacement,Crude Oil,Q4 2021,Enbridge,Enbridge,replacement,Operational,"MN, WI",760000 BPD,36 inches,337,Alberta Canada,Superior Wisconsin,Midwest refineries,,Line 3 replacement project (controversial)
