name,company,facility_types,city,state,country,lat,lon,capacity_kt,capacity_notes,products,markets,alloys,has_hot_mill,has_cold_mill,has_casthouse,has_recycling,num_potlines,port_adjacent,water_access,barge_access,rail_served,status,startup_year,employees,notes
Century Sebree Smelter,Century Aluminum,primary_smelter,Sebree,KY,US,37.6061,-87.5286,220,Full capacity; 100% owned,"primary ingot, T-bar, sow","industrial, automotive, packaging",P1020 (99.7% purity),False,False,True,False,3,False,True,True,True,operating,1973,600,Largest operating US smelter. Ohio River barge access. Owned by Century since 2003.
Century Mt. Holly Smelter,Century Aluminum,primary_smelter,Goose Creek,SC,US,32.981,-80.0326,229,Nameplate 229kt; operating at ~75% (172kt in 2023); $50M restart to full capacity by June 2026,"high-purity ingot, T-bar","aerospace, defense, electrical",99.9% high-purity aluminum,False,False,True,False,2,True,True,False,True,reduced,1980,465,"Only US smelter producing high-purity (99.9%) aluminum for military/aerospace. 2 potlines, 360 cells, Alcoa A697 tech at 228kA. Santee Cooper 3yr power contract through 2026. Century announced $50M to restore full capacity by mid-2026."
Century Hawesville Smelter,Century Aluminum,primary_smelter,Hawesville,KY,US,37.9,-86.7553,252,Nameplate 252kt; temporarily shut down since 2022,primary ingot,industrial,P1020,False,False,True,False,5,False,True,True,True,idled,1969,,"5 potlines, 560 cells, Kaiser P69 tech at 170kA. Ohio River adjacent. Idled since 2022 due to high power costs. Restart depends on competitive long-term energy contract."
Alcoa Warrick Smelter,Alcoa Corporation,primary_smelter,Newburgh,IN,US,37.9447,-87.4053,269,3 operating potlines; up to 156kt actual production,"primary ingot, molten metal (to adjacent Kaiser rolling mill)","packaging, industrial",P1020,False,False,True,False,3,False,True,False,True,operating,1960,600,Co-located with Kaiser Warrick rolling mill (sold to Kaiser 2021). Alcoa retained smelter + 800MW coal power plant. 3 potlines of 150 pots each. Supplies molten metal directly to Kaiser casthouse.
Alcoa Massena Smelter,Alcoa Corporation,primary_smelter,Massena,NY,US,44.9281,-74.8916,130,Reduced capacity operations,"primary ingot, billet","industrial, aerospace","P1020, specialty alloys",False,False,True,False,2,False,True,False,True,reduced,1903,400,Oldest continuously operating aluminum smelter site in US. St. Lawrence River hydropower. Massena East plant uses older Söderberg technology. 3yr labor agreement ratified 2023.
Magnitude 7 New Madrid Smelter,Magnitude 7 Metals,primary_smelter,New Madrid,MO,US,36.5864,-89.5279,263,Nameplate 263kt; fully shut down Jan 2024,primary ingot,industrial,P1020,False,False,True,False,3,False,True,True,True,idled,1971,,"Mississippi River barge access. Originally Noranda, acquired by ARG International 2016. Full shutdown Jan 2024 with no scheduled restart. Previously produced ~250kt/yr."
Century Green Aluminum Smelter,Century Aluminum,primary_smelter,Inola,OK,US,36.1518,-95.5096,500,Planned 500kt/yr; $5B investment; DOE $500M grant,primary ingot,"industrial, defense, packaging","P1020, high-purity",False,False,True,False,,False,False,False,True,planned,2031,,"First new US smelter in ~45 years. DOE Office of Clean Energy Demonstrations $500M grant. 100% renewable/nuclear power target. 75% less carbon-intensive. Site selection Feb 2026 (Inola, OK). 5-6yr build timeline."
Novelis Oswego,Novelis (Hindalco),integrated_mill,Oswego,NY,US,43.4553,-76.5105,360,"Largest Novelis NA plant; ~360kt/yr; hot mill fire Sep 2025, restarted Dec 2025","can stock, auto body sheet, industrial sheet","packaging, automotive, industrial","3xxx, 5xxx, 6xxx",True,True,True,True,,True,True,False,True,operating,1963,1100,"Novelis's largest wholly-owned NA fabrication facility. Full scrap remelting/recycling, ingot casting, hot and cold rolling, finishing. Major fire Sep 2025 damaged hot mill; restarted Dec 2025. Lake Ontario water access."
Novelis Bay Minette,Novelis (Hindalco),integrated_mill,Bay Minette,AL,US,30.883,-87.7741,600,"Initial 600kt finished goods; expandable to 1,000kt (Danieli 1+4 HSM)","can stock, auto body sheet","packaging, automotive","3xxx, 5xxx, 6xxx",True,True,True,True,,False,False,False,True,construction,2026,1000,$2.5B investment. First fully integrated aluminum mill built in US in 40+ years. South Alabama Mega Site at I-65/Hwy 287. 51km from Port of Mobile. Danieli 1+4 HSM. Commissioning H2 2026. UBC recycling center adds 15B cans/yr capacity. Railroad-served for low-carbon logistics.
Novelis Terre Haute (Logan Aluminum),Novelis (Hindalco) / Tri-Arrows JV,integrated_mill,Russellville,KY,US,36.8453,-86.8872,400,~400kt can stock,"can stock (body, end, tab)",packaging,"3xxx, 5xxx",True,True,True,True,,False,False,False,True,operating,1985,,"Logan Aluminum joint venture. Major can stock producer supplying Ball, Crown, Ardagh. Large UBC recycling operation."
Novelis Berea,Novelis (Hindalco),rolling_mill,Berea,KY,US,37.5687,-84.2963,100,Cold mill and finishing,"auto body sheet, industrial sheet","automotive, industrial","5xxx, 6xxx",False,True,False,False,,False,False,False,True,operating,,,Cold rolling and finishing operations. Automotive sheet focus.
Novelis Greensboro,Novelis (Hindalco),secondary_smelter,Greensboro,GA,US,33.5726,-83.2793,80,Recycling and casting,"recycled ingot, UBC processing",packaging,,False,False,True,True,,False,False,False,True,operating,,,Aluminum recycling facility. $36M expansion 2019. UBC processing for can stock supply chain.
Novelis Guthrie (formerly Aleris),Novelis (Hindalco),rolling_mill,Guthrie,KY,US,36.6486,-86.8872,100,,auto body sheet,automotive,"5xxx, 6xxx",False,True,False,False,,False,False,False,True,operating,,,Acquired via Aleris acquisition 2020. Automotive sheet finishing. $500M+ expansion ongoing.
Arconic Davenport Works,Arconic Corporation,integrated_mill,Bettendorf,IA,US,41.5379,-90.4654,500,One of world's largest aluminum rolling mills,"sheet, plate, coil","aerospace, automotive, industrial","2xxx, 5xxx, 6xxx, 7xxx",True,True,True,False,,False,True,True,True,operating,1948,2400,"Flagship Arconic rolling mill. Mississippi River barge access. Produces aerospace plate (2xxx, 7xxx), automotive sheet, and industrial products. One of the largest aluminum rolling complexes in the world."
Arconic Tennessee Operations,Arconic Corporation,integrated_mill,Alcoa,TN,US,35.7898,-83.9738,750,~750kt hot+cold rolled products,"sheet, coil","automotive, industrial, commercial transportation","3xxx, 5xxx, 6xxx",True,True,True,True,,False,False,False,True,operating,1919,1500,Originally Alcoa's historic Tennessee Works. Now Arconic rolled products. Major automotive sheet producer. $100M+ hot mill expansion completed ~2020. City of Alcoa named after the company.
Arconic Lancaster,Arconic Corporation,rolling_mill,Lancaster,PA,US,40.0614,-76.3114,150,,"sheet, plate","aerospace, industrial, building products","2xxx, 5xxx, 6xxx, 7xxx",False,True,False,False,,False,False,False,True,operating,,,"Cold rolling, finishing, and heat treatment for aerospace and industrial applications."
